iter	Passed	Remaining
151	1057	5899
152	1062	5884
153	1068	5867
154	1073	5850
155	1079	5838
156	1085	5828
157	1091	5817
158	1097	5802
159	1102	5785
160	1107	5770
161	1113	5757
162	1119	5746
163	1124	5734
164	1131	5724
165	1135	5706
166	1140	5686
167	1145	5671
168	1147	5642
169	1152	5627
170	1157	5613
171	1163	5600
172	1168	5587
173	1174	5573
174	1180	5564
175	1185	5551
176	1190	5536
177	1196	5523
178	1201	5511
179	1206	5497
180	1211	5482
181	1216	5469
182	1222	5456
183	1227	5444
184	1232	5431
185	1237	5417
186	1243	5406
187	1249	5397
188	1254	5384
189	1259	5370
190	1264	5358
191	1269	5344
192	1274	5329
193	1280	5319
194	1285	5307
195	1290	5292
196	1295	5281
197	1300	5267
198	1306	5258
199	1311	5247
200	1316	5231
201	1322	5223
202	1328	5215
203	1334	5206
204	1339	5194
205	1345	5184
206	1349	5171
207	1354	5157
208	1359	5146
209	1365	5136
210	1370	5123
211	1375	5113
212	1381	5106
213	1386	5093
214	1392	5084
215	1398	5074
216	1403	5065
217	1409	5054
218	1414	5045
219	1420	5035
220	1425	5024
221	1431	5015
222	1436	5006
223	1441	4994
224	1446	4984
225	1450	4967
226	1455	4957
227	1461	4947
228	1467	4939
229	1472	4929
230	1477	4918
231	1482	4908
232	1487	4897
233	1493	4888
234	1498	4878
235	1504	4869
236	1509	4860
237	1515	4852
238	1521	4843
239	1526	4832
240	1531	4823
241	1537	4817
242	1543	4808
243	1549	4801
244	1555	4794
245	1561	4786
246	1566	4776
247	1573	4771
248	1579	4763
249	1584	4754
250	1589	4742
251	1595	4734
252	1600	4726
253	1606	4717
254	1612	4709
255	1617	4701
256	1623	4693
257	1628	4684
258	1634	4676
259	1640	4668
260	1647	4663
261	1652	4656
262	1659	4649
263	1665	4641
264	1670	4633
265	1676	4624
266	1682	4617
267	1687	4609
268	1693	4602
269	1698	4592
270	1703	4583
271	1710	4577
272	1715	4567
273	1721	4561
274	1726	4551
275	1731	4541
276	1752	4575
277	1764	4583
278	1777	4592
279	1789	4601
280	1795	4594
281	1801	4587
282	1807	4580
283	1813	4572
284	1819	4564
285	1824	4555
286	1829	4545
287	1834	4536
288	1838	4524
289	1843	4514
290	1849	4506
291	1855	4499
292	1861	4491
293	1866	4482
294	1871	4472
295	1877	4464
296	1883	4457
297	1888	4448
298	1894	4442
299	1900	4434
300	1906	4426
301	1911	4417
302	1916	4408
303	1920	4398
304	1926	4389
305	1930	4378
306	1935	4369
307	1941	4362
308	1946	4353
309	1951	4343
310	1956	4335
311	1962	4326
312	1967	4318
313	1973	4311
314	1980	4305
315	1987	4303
316	1994	4296
317	1999	4289
318	2005	4281
319	2010	4272
320	2015	4264
321	2021	4256
322	2027	4248
323	2032	4241
324	2037	4232
325	2043	4224
326	2048	4215
327	2053	4206
328	2058	4197
329	2062	4188
330	2067	4179
331	2074	4173
332	2079	4165
333	2085	4158
334	2089	4148
335	2093	4137
336	2098	4128
337	2103	4119
338	2108	4111
339	2113	4102
340	2117	4091
341	2122	4082
342	2126	4073
343	2131	4065
344	2136	4056
345	2142	4049
346	2147	4041
347	2153	4033
348	2158	4026
349	2163	4017
350	2168	4009
351	2174	4003
352	2180	3997
353	2188	3992
354	2193	3986
355	2200	3980
356	2205	3972
357	2210	3964
358	2215	3955
359	2220	3948
360	2226	3940
361	2231	3932
362	2236	3925
363	2242	3918
364	2248	3911
365	2253	3903
366	2259	3896
367	2265	3890
368	2271	3883
369	2276	3876
370	2282	3869
371	2287	3861
372	2292	3853
373	2298	3847
374	2304	3840
375	2309	3832
376	2315	3826
377	2320	3818
378	2326	3811
379	2331	3803
380	2337	3797
381	2342	3789
382	2346	3780
383	2352	3773
384	2357	3765
385	2362	3758
386	2368	3751
387	2375	3747
388	2383	3743
389	2390	3739
390	2396	3732
391	2401	3725
392	2407	3718
393	2410	3708
394	2416	3701
395	2422	3694
396	2427	3686
397	2432	3678
398	2437	3671
399	2443	3664
400	2448	3658
401	2454	3651
402	2460	3644
403	2465	3637
404	2470	3630
405	2476	3623
406	2481	3615
407	2487	3609
408	2492	3600
409	2496	3593
410	2502	3586
411	2508	3579
412	2513	3572
413	2519	3566
414	2525	3560
415	2531	3554
